iter	Logloss
130	0.5465754208
131	0.5464572451
132	0.5462860136
133	0.5461127538
134	0.5459545078
135	0.5458019624
136	0.5456439442
137	0.5455008675
138	0.5453564905
139	0.5451584074
140	0.5450057982
141	0.5448657169
142	0.5447000123
143	0.5445405675
144	0.5443902449
145	0.5442041473
146	0.544054059
147	0.5438703972
148	0.543739658
149	0.5436214219
150	0.5434605372
151	0.543275959
152	0.5431234743
153	0.5429940593
154	0.5428483314
155	0.5426912302
156	0.5425957647
157	0.5424289238
158	0.5423130266
159	0.5421742859
160	0.5420226452
161	0.5419129154
162	0.541785359
163	0.5416588263
164	0.5414915319
165	0.5413314001
166	0.5412088666
167	0.5410208853
168	0.5409074499
169	0.5407728523
170	0.5405573874
171	0.5404345818
172	0.5403143657
173	0.5401829955
174	0.5400585693
175	0.5399056682
176	0.5397639583
177	0.539658909
178	0.5394708664
179	0.5393427276
180	0.539193514
181	0.5390135362
182	0.5388398536
183	0.5386649394
184	0.5384830138
185	0.5383382597
186	0.5381809906
187	0.5380604854
188	0.5379522567
189	0.5378176462
190	0.5376820187
191	0.5375007145
192	0.537392379
193	0.5373802093
194	0.5372556401
195	0.5371213415
196	0.5369787619
197	0.5368462523
198	0.5366995542
199	0.5365550478
200	0.5363887622
201	0.536274838
202	0.5360906072
203	0.5359274546
204	0.5357404201
205	0.5356472982
206	0.5355027462
207	0.5353304636
208	0.535235207
209	0.5350414592
210	0.5348887467
211	0.5346959181
212	0.5345273367
213	0.5343969398
214	0.534279684
215	0.5341276044
216	0.533992939
217	0.5338251583
218	0.5336969858
219	0.5335525785
220	0.5334431557
221	0.5332736885
222	0.5330962303
223	0.5329788706
224	0.5328283352
225	0.5326939429
226	0.532525069
227	0.5324289843
228	0.5322156763
229	0.5319954504
230	0.5318904371
231	0.5317422834
232	0.5316161074
233	0.5314537575
234	0.5312857323
235	0.5311165933
236	0.5310021183
237	0.5307939489
238	0.5306934278
239	0.5305516672
240	0.5303996831
241	0.5302750369
242	0.5301193432
243	0.5300154133
244	0.5298792521
245	0.5296893181
246	0.5295191292
247	0.5293263297
248	0.5291683607
249	0.5290298517
250	0.5288641614
251	0.5287009101
252	0.5285217422
253	0.5284008248
254	0.5282380703
255	0.528070045
256	0.5279210679
257	0.5277086662
258	0.527499707
259	0.5273568155
260	0.527264135
261	0.5271243688
262	0.527013886
263	0.5268575929
264	0.5266780977
265	0.5265606512
266	0.5263700311
267	0.5262195436
268	0.5261072632
269	0.5258551854
270	0.5256932234
271	0.5255738744
272	0.5254306518
273	0.5252588453
274	0.5250804964
275	0.524917089
276	0.5247530049
277	0.5245703451
278	0.5244095934
279	0.5242524242
280	0.5240860815
281	0.523924657
282	0.5237789244
283	0.5236262759
284	0.5234577466
285	0.5232969327
286	0.5231275271
287	0.5229357566
288	0.5227972712
289	0.5226581451
290	0.5225526713
291	0.522425907
292	0.5221878488
293	0.5220356278
294	0.5218002429
295	0.521669626
296	0.5214989754
297	0.5213728327
298	0.5212021296
299	0.5210504535
300	0.5208384876
301	0.5206677714
302	0.520525392
303	0.5203396253
304	0.5200793975
305	0.5199200058
306	0.5197240727
307	0.5195609643
308	0.5194311462
309	0.5192582062
310	0.5190823369
311	0.5188668813
312	0.5186962771
313	0.5185579394
314	0.5183740466
315	0.5181635173
316	0.5179848796
317	0.5178363807
318	0.5176687218
319	0.5174912002
320	0.5173407351
321	0.517182784
322	0.517025787
323	0.5168717246
324	0.5166903848
325	0.5165088259
326	0.5163682215
327	0.5161005818
328	0.5158867655
329	0.5157128244
330	0.5155642888
331	0.5154329879
332	0.5152334402
333	0.5151081345
334	0.5148897677
335	0.5147226954
336	0.5145554426
337	0.5144112001
338	0.5142622106
339	0.5141377201
340	0.5139774019
341	0.5138465144
342	0.5137278651
343	0.5136047294
344	0.5134278709
345	0.513293074
346	0.513116197
347	0.5129537413
348	0.5127519522
349	0.5126397425
350	0.5124748248
351	0.5122912984
352	0.5121340921
353	0.5119316649
354	0.5117505229
355	0.5116140091
356	0.5114392091
357	0.5113052439
358	0.511168392
359	0.5110071649
360	0.5107867803
361	0.5106297024
362	0.5104720777
363	0.510292262
364	0.510152854
365	0.5099561944
366	0.5097761048
367	0.5096068412
368	0.5094369117
369	0.5092725666
370	0.5091159542
371	0.5089403106
372	0.5087866856
373	0.5086384896
374	0.5085171081
375	0.5083500621
376	0.5081871713
377	0.5080192407
378	0.5078961633
379	0.5077789106
380	0.5075993076
381	0.5074501354
382	0.5072663908
383	0.5071223233
384	0.5069781855
385	0.5068272638
386	0.5066337173
387	0.5064621587
388	0.5062630427
389	0.5061289388
390	0.5059795063
391	0.5058330816
392	0.5056669844
393	0.5055368527
394	0.5053896581
395	0.5052536117
396	0.505080636
397	0.5048830328
398	0.5047212228
399	0.504572227
400	0.5044150478
401	0.5042449495
402	0.50411633
403	0.5039254074
404	0.5037970922
405	0.5036189948
406	0.5034227889
407	0.50325196
408	0.5030901663
409	0.5029517093
410	0.5027784277
411	0.5026128608
412	0.5024487065
413	0.5022594007
414	0.5020665638
415	0.5019225744
416	0.5017183967
417	0.5015550303
418	0.5013734337
419	0.5012441152
420	0.5010430435
421	0.5008277031
422	0.5006845202
423	0.5005851743
424	0.5004364174
425	0.5002496904
426	0.5000942674
427	0.4999126609
428	0.4997650535
429	0.4996094841
430	0.4994538961
431	0.4993128153
432	0.4991329581
433	0.498957889
434	0.4987628452
435	0.4986227304
436	0.4983450221
437	0.4981892682
438	0.4980824886
439	0.4979497998
440	0.497812392
441	0.4976765385
442	0.4975471124
443	0.4973114854
444	0.4971002406
445	0.4969624974
446	0.4967836321
447	0.496646804
448	0.4965694786
449	0.4964175405
450	0.4962710679
451	0.4961601403
452	0.4959942528
453	0.4958061443
454	0.4956243933
455	0.4954857786
456	0.4952985
457	0.4951082574
458	0.4949159726
459	0.4947412677
460	0.4945708436
461	0.494445508
462	0.4943006284
463	0.4940996924
464	0.4939675086
465	0.4937832944
466	0.4935876784
467	0.4934338797
468	0.4932616518
469	0.4931057747
470	0.492960536
471	0.4928396263
472	0.4926434208
473	0.4924195047
474	0.4922818082
475	0.4921574134
476	0.4920243262
477	0.4918549682
478	0.491690285
479	0.4915396114
480	0.4913312442
481	0.4911361139
482	0.4909902761
483	0.4908679013
484	0.4906961678
485	0.4905091003
486	0.4903583557
487	0.4901588273
488	0.4900065227
489	0.4898865276
490	0.4897065297
491	0.4895831308
492	0.4894109323
493	0.4892562291
494	0.4890849505
495	0.4889714799
496	0.4888272682
497	0.4886720278
498	0.4885227228
499	0.4884244492
500	0.4883082234
501	0.4881106246
502	0.4879688229
503	0.4878086648
504	0.4876883918
505	0.4875089688
506	0.4873019799
507	0.4871127289
508	0.486982931
509	0.4868256773
510	0.486672011
511	0.4865086886
512	0.486323595
513	0.4861763328
514	0.4860372325
515	0.4858685352
516	0.4857039144
517	0.4855372552
518	0.4853916872
519	0.4852901602
520	0.485147256
521	0.4850340321
522	0.4848817946
523	0.4846781905
524	0.4845200915
525	0.4843194732
526	0.484175263
527	0.484031004
528	0.4838981857
529	0.4837394649
530	0.4836004419
531	0.4834569766
532	0.483311706
533	0.4831363021
534	0.4830119485
535	0.4828641909
536	0.4827257527
537	0.4826122038
538	0.482501828
539	0.4824010901
540	0.4822635207
541	0.4821252324
542	0.4820199104
543	0.481820105
544	0.4817071133
545	0.4815652963
546	0.4814117986
547	0.4812888602
548	0.4811611998
549	0.4810146351
550	0.4808716051
551	0.4807433919
552	0.4805926506
553	0.4804342744
554	0.4802849362
555	0.4801273724
556	0.4800143362
557	0.4798725248
558	0.4797737405
559	0.4795895798
560	0.4794756799
561	0.4793356564
562	0.479182465
563	0.4790775631
564	0.4789499247
565	0.478774104
566	0.4785652669
567	0.4784379313
568	0.4782672229
569	0.4781553587
570	0.4780391234
571	0.4779025363
572	0.4777281921
573	0.4775820937
574	0.4774183862
575	0.47726493
576	0.477090938
577	0.4769245119
578	0.4767954847
579	0.4766608652
580	0.4764807654
581	0.4763374902
582	0.4762066958
583	0.4760849225
584	0.4759030222
585	0.4757896747
586	0.4756649708
587	0.4755362764
588	0.4753601741
589	0.4752075904
590	0.4750396939
591	0.4748962647
592	0.4747558768
593	0.4746119711
594	0.4744853274
595	0.4743657964
596	0.4742467291
597	0.4741275295
598	0.4739706331
599	0.4738555975
600	0.4736870662
601	0.4735284145
602	0.4733584701
603	0.4732336517
604	0.4730804993
605	0.4728974308
606	0.472778538
607	0.4726890137
608	0.4725404709
609	0.4723298818
610	0.4721795109
611	0.4720131384
612	0.4718857026
613	0.471746944
614	0.4715776939
615	0.4714666327
616	0.4713430937
617	0.4712471721
618	0.4711434585
619	0.4710041804
620	0.4708747983
621	0.47073743
622	0.4706358912
623	0.4704761043
624	0.470346531
625	0.4702256294
626	0.4701186975
627	0.4700255898
628	0.4698553303
629	0.4696974561
630	0.4695643805
631	0.4694170813
632	0.4692594826
633	0.4691076774
634	0.4689403107
635	0.4687800337
636	0.4686680871
637	0.4685302838
638	0.4684127775
639	0.4682467221
640	0.4680855536
641	0.467945552
642	0.467840207
643	0.4676978413
644	0.4675152335
645	0.4673650789
646	0.4672356284
647	0.4670986659
648	0.4669612242
649	0.4668579785
650	0.4666869555
651	0.4665445683
652	0.4664371628
653	0.4662587437
654	0.4661484851
655	0.4660173765
656	0.4658987068
657	0.4657694358
658	0.4656337717
659	0.4655580909
660	0.4653150274
661	0.4652035072
662	0.4650785804
663	0.4649494292
664	0.4648066678
665	0.4646802538
666	0.4645627942
667	0.4644401317
668	0.464309532
669	0.464213883
670	0.464064517
671	0.4639198069
672	0.4637636148
673	0.4636136827
674	0.4634738935
675	0.4633472568
676	0.4632333084
677	0.4631150587
678	0.4629500705
679	0.4627954972
680	0.4626935723
681	0.4624699185
682	0.4623220148
683	0.4621574545
684	0.4620033928
685	0.4618890059
686	0.4617267585
687	0.4615970603
688	0.4614518794
689	0.4612946823
690	0.4611843786
691	0.4610489292
692	0.4608871038
693	0.4607287231
694	0.4605664063
695	0.4604155129
696	0.4602878283
697	0.4601552486
698	0.4600475366
699	0.4598632127
700	0.4597539265
701	0.4596142882
702	0.4594378167
703	0.4593174873
704	0.4591636062
705	0.4590128371
706	0.4588582132
707	0.4587168654
708	0.4585769243
709	0.4584723737
710	0.4583223441
711	0.4581480822
712	0.4579801906
713	0.4578378282
714	0.4576689819
715	0.4574945177
716	0.4574010136
717	0.4572409038
718	0.4570548197
719	0.4568947177
720	0.4567759153
721	0.4566177666
722	0.4564994217
723	0.4563405709
724	0.4562267421
725	0.4561192065
726	0.4560161889
727	0.4558929805
728	0.4557837512
729	0.4556766138
730	0.4555342793
731	0.4554153756
732	0.4553124412
733	0.4551888967
734	0.4550371391
735	0.4548978599
736	0.4547314027
737	0.4546018185
738	0.4544963994
739	0.4543487949
740	0.4541984243
741	0.4540628614
742	0.4539028002
743	0.4537534498
744	0.4535752323
745	0.4534862416
746	0.4533181375
747	0.4531641616
748	0.4530266211
749	0.452853801
750	0.4527262744
751	0.4526217572
752	0.4524830359
753	0.4523241823
754	0.4522045597
755	0.4521037549
756	0.4519862662
757	0.4518651369
758	0.4517660612
759	0.4516449742
760	0.4514484749
761	0.4513073268
762	0.4511581214
763	0.4510452379
764	0.4508994543
765	0.4507867514
766	0.4506661139
767	0.450548239
768	0.4504300735
769	0.4502772414
770	0.4501542148
771	0.4500126765
772	0.4498587484
773	0.4497254612
774	0.4495963979
775	0.4494320384
776	0.4493048793
777	0.4492032755
778	0.4490521165
779	0.4489179445
780	0.4487683558
781	0.4486291313
782	0.4484744623
783	0.448364935
784	0.4482038417
785	0.4480774698
786	0.4479588328
787	0.4478381743
788	0.4477056772
789	0.4476146329
790	0.4474984818
791	0.4474014985
792	0.4473189496
793	0.4471973917
794	0.4470895832
795	0.4469867332
796	0.4469149159
797	0.4467572284
798	0.4466400198
799	0.4465096711
800	0.446329491
801	0.4462299919
802	0.4461057004
803	0.44600355
804	0.4458723248
805	0.4457423517
806	0.4456045655
807	0.4455350226
808	0.4453954621
809	0.4452528644
810	0.4451668824
811	0.4450219315
812	0.4448397509
813	0.4447014222
814	0.4446163445
815	0.444471548
816	0.4443652619
817	0.4442558367
818	0.444116227
819	0.4439707893
820	0.4438197007
821	0.4436576353
822	0.443526988
823	0.4434240083
824	0.4432987792
825	0.4431642684
826	0.4430856831
827	0.4429461495
828	0.4427680785
829	0.4426389788
830	0.4425094911
831	0.4423963125
832	0.4422427607
833	0.4421191938
834	0.4420085177
835	0.4418454501
836	0.4417425566
837	0.4416135073
838	0.4414600173
839	0.4412610265
840	0.4411294765
841	0.4409706965
842	0.4408307926
843	0.4407479055
844	0.4405745183
845	0.4404466541
846	0.440322154
847	0.4402289725
848	0.4401136828
849	0.4399512455
850	0.4398092342
851	0.4396611941
852	0.4395583496
853	0.439468683
854	0.4393841886
855	0.4392481498
856	0.4391045646
857	0.4389747175
858	0.4388633991
859	0.4387571645
860	0.4385996354
861	0.438499758
862	0.4383891482
863	0.4382478044
864	0.4381374903
865	0.438031389
866	0.4378801048
867	0.4377635532
868	0.4376494519
869	0.4375712539
870	0.437430776
871	0.4373297414
872	0.4372311156
873	0.4370738653
874	0.4369433818
875	0.4368491494
876	0.4367617781
877	0.4366637126
878	0.436594307
879	0.4364453928
880	0.4362838163
881	0.4361487853
882	0.4359980418
883	0.4358792586
884	0.4357295386
885	0.4356045533
886	0.4355338734
887	0.4354173582
888	0.4352801375
889	0.4351871757
890	0.4350595065
891	0.4349319483
892	0.4347561146
893	0.4347020701
894	0.4345716075
895	0.434441117
896	0.4342799905
897	0.4341370957
898	0.4340354351
899	0.4338617713
900	0.433742048
901	0.4335840902
902	0.4334355742
903	0.4333141267
904	0.4331755914
905	0.4330669014
906	0.432968514
907	0.4328558279
908	0.4327140612
909	0.432601277
910	0.4325022182
911	0.4323773779
912	0.4322762015
913	0.4321732226
914	0.4320479668
915	0.4319058745
916	0.4318146202
917	0.4316678793
918	0.4315008417
919	0.4313914937
920	0.4312610963
921	0.4311169872
922	0.4309739326
923	0.430914525
924	0.4307648176
925	0.430647242
926	0.4305321733
927	0.4303860885
928	0.4302501265
929	0.4301627671
930	0.4300496604
931	0.4299448967
932	0.4298363809
933	0.4296777551
934	0.4295600107
935	0.4294626241
936	0.4293603889
937	0.429232371
938	0.4291291982
939	0.4290328229
940	0.4288715816
941	0.4287545902
942	0.428610399
943	0.4284830104
944	0.4283476953
945	0.4282010792
946	0.4280630996
947	0.4279381676
948	0.4278053505
949	0.4276489597
950	0.427563474
951	0.4274451942
952	0.4274006684
953	0.427259336
954	0.4271302834
955	0.4270110425
956	0.4268421796
957	0.4267546858
958	0.4266619637
959	0.4265566143
960	0.4264488818
961	0.4262871254
962	0.4261479067
963	0.4260571319
964	0.425957449
965	0.4258704995
966	0.4257399907
967	0.4255887446
968	0.4254410204
969	0.4253030622
970	0.4252005214
971	0.4250758963
972	0.424996429
973	0.4248547837
974	0.4247060575
975	0.4245582144
976	0.4244218611
977	0.424299543
978	0.4241832763
979	0.4240914183
980	0.4239223732
981	0.4238073639
982	0.4236486168
983	0.4235475015
984	0.4234094507
985	0.4232548162
986	0.4231605386
987	0.4229985911
988	0.4228386276
989	0.4227351505
990	0.4226615443
991	0.4225548625
992	0.4224377779
993	0.4223428898
994	0.4222363484
995	0.4220975522
996	0.4219947393
997	0.4218879529
998	0.4217802996
999	0.4216629364
